commit,build_after,test_after,build_before,test_before,regressions,fixes,new_passes
53ff0ac6d556c759d392f42490b55f32d95670f3,Success,Success,Success,Success,0,0,1
dd4f4d56649c72622933fafd6f8dedf33a269918,Success,Success,Success,Success,0,0,0
60674649b23088806e091a588feabc196f093420,Success,Success,Success,Success,0,0,1
f217322b2899ae1fcdf37e10e90b7c4d9f32297b,Success,Success,Success,Success,0,0,0
25dbb58f01876c64a07ea5c085e73ca275c66a98,Success,Success,Success,Success,0,0,0
a2338d7133ba9e364a3d663d505ecdb95a253895,Success,Success,Success,Success,0,0,1
d68a09462391f40f86a54694949eb2113a1c62a1,Success,Success,Success,Success,0,0,0
c867f6caf6083250c63912279a6959e4f810d3c9,Success,Success,Success,Success,0,0,1
af52f94154875b138d6db77d86fe5b6928977e28,Success,Fail,Success,Fail,0,0,1
6fc00ad71e93c561e87ca1b90bbbdf80c4091b06,Success,Success,Success,Success,0,0,1
4e5c6801f4d60f100f122072f6bf35b21fd722a5,Success,Crash/No Report,Success,Crash/No Report,0,0,0
eed375496aff14c54341f79ff18c1042d84e80c4,Success,Crash/No Report,Success,Crash/No Report,0,0,0
b9eeebd582a6a494b45ff0ee54c59f01f72474b4,Success,Success,Success,Success,0,0,1
dc56dfeaee3de2078a93b0b0e8a0f3231cb7e45a,Success,Success,Success,Success,0,0,0
dcd246242823b7d65f11c73cf0c285029e852742,Success,Success,Success,Success,0,0,1
d626197d1a886c52f8be5b9000d1a6100ad60b40,Success,Success,Success,Success,0,0,3
63a3bd9396d1ff41dbcf06ed624450094c5ee3cf,Success,Success,Success,Success,0,0,2
26bab001dc36956c870b5a25884a2cef0e5440be,Success,Success,Success,Success,0,0,4
2f55a7fc8bc68eb4fa3ea7213d49236c839085f6,Success,Success,Success,Success,0,0,1
1f87f1729a6fa6261c6e8398f9a893ad38dae9a4,Success,Success,Success,Success,0,0,1
f0948d38fdc811eca4a4b71dcb81a9b7dbb654b3,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
51ea1d9772fa28604e8e6571944719bf80ad8ef2,Skipped,Skipped (No Targets),Skipped,Skipped,0,0,0
7f9c90096d5af6e3a8dd290cff0a8393ea719325,Success,Crash/No Report,Success,Crash/No Report,0,0,0
